,Titles,Scores,title_keywords,title_keywords_2,title_keywords_3,title_keywords_v,title_keywords_v2
0,Which changes in model organisms associated with ageing also change in a similar way in humans?,4,"[('changes', 0.8914), ('similar', 0.8835), ('organisms', 0.879), ('model', 0.8486)]","[('ageing change', 0.9184), ('model organisms', 0.8843), ('humans', 0.8803), ('similar way', 0.8727), ('associated', 0.8409)]","[('ageing change similar', 0.9351), ('organisms associated ageing', 0.9191), ('model organisms', 0.8843), ('changes model', 0.8793), ('way humans', 0.8766)]","[('changes', 0.8914), ('model organisms', 0.8843), ('humans', 0.8803), ('similar way', 0.8727)]","[('model organisms', 0.8843), ('humans', 0.8803), ('similar way', 0.8727)]"
1,Can we come up with better markers that represent ageing changes in mice that are measurable in human samples (not restricted to blood)?,4,"[('mice', 0.9037), ('markers', 0.8807), ('blood', 0.8704), ('measurable', 0.8625)]","[('mice measurable', 0.9102), ('better markers', 0.89), ('human samples', 0.8858), ('ageing changes', 0.8826), ('come', 0.8211)]","[('markers represent ageing', 0.9243), ('mice measurable human', 0.9216), ('ageing changes mice', 0.9153), ('better', 0.8462), ('samples restricted blood', 0.8402)]","[('mice', 0.9037), ('better markers', 0.89), ('human samples', 0.8858), ('ageing changes', 0.8826), ('blood', 0.8704)]","[('mice', 0.9037), ('better markers', 0.89), ('human samples', 0.8858), ('blood', 0.8704), ('changes', 0.8426)]"
2,Which cellular changes that contribute to ageing originate from within the cell? ,4,"[('cellular', 0.8901), ('originate', 0.8806), ('changes', 0.8781), ('contribute', 0.8494)]","[('ageing originate', 0.9413), ('contribute ageing', 0.9243), ('cellular changes', 0.9084), ('originate cell', 0.8926), ('contribute', 0.8494)]","[('ageing originate cell', 0.9619), ('contribute ageing originate', 0.9449), ('cellular changes contribute', 0.9254), ('contribute ageing', 0.9243), ('cell', 0.892)]","[('cellular changes', 0.9084), ('cell', 0.892)]","[('cellular changes', 0.9084), ('cell', 0.892)]"
3,Are there are specific tissues or cell types that have a bigger contribution to ageing?,4,"[('tissues', 0.8689), ('contribution', 0.8651), ('specific', 0.8557), ('bigger', 0.8497)]","[('contribution ageing', 0.908), ('specific tissues', 0.8929), ('cell', 0.8541), ('bigger', 0.8497), ('types', 0.8456)]","[('bigger contribution ageing', 0.9187), ('cell types bigger', 0.91), ('specific tissues cell', 0.8961), ('contribution', 0.8651)]","[('specific tissues', 0.8929), ('cell types', 0.8846), ('bigger contribution', 0.879)]","[('specific tissues', 0.8929), ('cell types', 0.8846), ('bigger contribution', 0.879)]"
4,Can we apply stem cell therapy based on our own young stem cells (from cord blood)?,4,"[('stem', 0.8843), ('young', 0.8602), ('therapy', 0.8502), ('apply', 0.8476), ('based', 0.8425)]","[('stem cells', 0.9073), ('cord blood', 0.8881), ('young', 0.8602), ('therapy based', 0.8585), ('apply', 0.8476)]","[('apply stem cell', 0.9272), ('young stem', 0.8906), ('cord blood', 0.8881), ('cell therapy', 0.8872), ('therapy based young', 0.8858)]","[('stem cell therapy', 0.9237), ('young stem cells', 0.9159), ('cord blood', 0.8881)]","[('stem cell therapy', 0.9237), ('young stem cells', 0.9159), ('cord blood', 0.8881)]"
5,"What ageing-related processes cannot be targeted by lifestyle interventions, where do we need pharmacological interventions?",4,"[('pharmacological', 0.8838), ('lifestyle', 0.8834), ('targeted', 0.8688), ('processes', 0.8409)]","[('targeted lifestyle', 0.9007), ('ageing related', 0.8961), ('need pharmacological', 0.8865), ('interventions', 0.8733), ('processes', 0.8409)]","[('processes targeted lifestyle', 0.915), ('lifestyle interventions need', 0.9137), ('ageing related', 0.8961), ('related processes targeted', 0.888), ('need pharmacological', 0.8865)]","[('lifestyle interventions', 0.8991), ('pharmacological interventions', 0.8974)]","[('lifestyle interventions', 0.8991), ('pharmacological interventions', 0.8974), ('processes', 0.8409)]"
6,"Will therapies based on young cells work in an aged niche/environment, what is the contribution of the systemic environment on the success?",4,"[('therapies', 0.8904), ('young', 0.8762), ('niche', 0.8675), ('based', 0.8597), ('systemic', 0.8577)]","[('young cells', 0.8992), ('therapies based', 0.8978), ('aged niche', 0.8887), ('systemic environment', 0.8656), ('success', 0.8321)]","[('therapies based young', 0.9272), ('cells work aged', 0.9147), ('aged niche environment', 0.8942), ('systemic environment success', 0.8742), ('cells', 0.8649)]","[('young cells', 0.8992), ('therapies', 0.8904), ('systemic environment', 0.8656), ('success', 0.8321), ('contribution', 0.8144)]","[('young cells', 0.8992), ('therapies', 0.8904), ('aged niche', 0.8887), ('systemic environment', 0.8656), ('environment', 0.8482)]"
7,Which cellular and molecular changes primary contribute to ageing? ,4,"[('changes', 0.8837), ('primary', 0.8658), ('cellular', 0.8628), ('molecular', 0.8459)]","[('contribute ageing', 0.9287), ('molecular changes', 0.8955), ('primary', 0.8658), ('cellular', 0.8628)]","[('primary contribute ageing', 0.9376), ('contribute ageing', 0.9287), ('cellular molecular changes', 0.9079), ('changes primary', 0.8956)]","[('molecular changes', 0.8955)]","[('molecular changes', 0.8955), ('primary contribute', 0.8767)]"
8,"What do the current (epigenetic) clocks measure, i.e. which cellular/molecular processes do they represent? ",4,"[('clocks', 0.9101), ('epigenetic', 0.9045), ('current', 0.8822), ('measure', 0.8637), ('processes', 0.8591)]","[('epigenetic clocks', 0.9348), ('current epigenetic', 0.9224), ('measure cellular', 0.8844), ('current', 0.8822), ('processes represent', 0.876)]","[('current epigenetic clocks', 0.9489), ('clocks measure', 0.9221), ('molecular processes represent', 0.8872), ('measure cellular', 0.8844), ('current', 0.8822)]","[('clocks measure', 0.9221)]","[('clocks', 0.9101), ('molecular processes', 0.8731)]"
9,Is there a limited number of common triggers for age-related diseases? ,4,"[('triggers', 0.8893), ('diseases', 0.8881), ('age', 0.8699), ('common', 0.8688), ('related', 0.8511)]","[('common triggers', 0.9216), ('triggers age', 0.9175), ('age related', 0.9015), ('diseases', 0.8881), ('limited number', 0.8342)]","[('common triggers age', 0.9467), ('age related diseases', 0.9339), ('related', 0.8511), ('number', 0.8322), ('limited', 0.8263)]","[('common triggers', 0.9216), ('limited number', 0.8342)]","[('common triggers', 0.9216), ('diseases', 0.8881), ('age', 0.8699), ('limited number', 0.8342)]"
