,Titles,Scores,title_keywords
0,Which changes in model organisms associated with ageing also change in a similar way in humans?,4,"[('changes', 0.8914), ('model organisms', 0.8843), ('humans', 0.8803), ('similar way', 0.8727)]"
1,Can we come up with better markers that represent ageing changes in mice that are measurable in human samples (not restricted to blood)?,4,"[('mice', 0.9037), ('better markers', 0.89), ('human samples', 0.8858), ('ageing changes', 0.8826), ('blood', 0.8704)]"
2,Which cellular changes that contribute to ageing originate from within the cell? ,4,"[('cellular changes', 0.9084), ('cell', 0.892)]"
3,Are there are specific tissues or cell types that have a bigger contribution to ageing?,4,"[('specific tissues', 0.8929), ('cell types', 0.8846), ('bigger contribution', 0.879)]"
4,Can we apply stem cell therapy based on our own young stem cells (from cord blood)?,4,"[('stem cell therapy', 0.9237), ('young stem cells', 0.9159), ('cord blood', 0.8881)]"
5,"What ageing-related processes cannot be targeted by lifestyle interventions, where do we need pharmacological interventions?",4,"[('lifestyle interventions', 0.8991), ('pharmacological interventions', 0.8974)]"
6,"Will therapies based on young cells work in an aged niche/environment, what is the contribution of the systemic environment on the success?",4,"[('young cells', 0.8992), ('therapies', 0.8904), ('systemic environment', 0.8656), ('success', 0.8321), ('contribution', 0.8144)]"
7,Which cellular and molecular changes primary contribute to ageing? ,4,"[('molecular changes', 0.8955)]"
8,"What do the current (epigenetic) clocks measure, i.e. which cellular/molecular processes do they represent? ",4,"[('clocks measure', 0.9221)]"
9,Is there a limited number of common triggers for age-related diseases? ,4,"[('common triggers', 0.9216), ('limited number', 0.8342)]"
10,Can we create a framework to start a testing and developing ultimate and proximate evolutionary theories in a systematic way?,4,"[('proximate evolutionary theories', 0.9129), ('framework', 0.873), ('testing', 0.8527), ('systematic way', 0.8395)]"
11,What outcomes/processes do we want to study using the generated longitudinal deep phenotyped data?,4,"[('longitudinal deep phenotyped data', 0.9499)]"
12,How do we distinguish ageing from disease (if possible)?,4,"[('disease', 0.9047)]"
13,What does the minimal dataset look like that we would need to study the different aspects/trajectories of ageing?,4,"[('minimal dataset', 0.9175)]"
14,How to measure outcomes and processes (which techniques) to capture different aspects of the ageing process? ,4,"[('ageing process', 0.9023), ('processes', 0.8849), ('outcomes', 0.8845), ('different aspects', 0.8802), ('techniques', 0.8758)]"
15,What is the effect of sexual dimorphism and ethnicity on different aspects of ageing?,4,"[('sexual dimorphism', 0.919), ('ethnicity', 0.8914), ('different aspects', 0.8868), ('effect', 0.8822)]"
16,How we can we better make use of all the data and biobanked samples that have already been collected worldwide (sharing/processing)?,4,"[('biobanked samples', 0.9166), ('use', 0.8684), ('data', 0.8681)]"
17,"How to bring scientist from different fields (and which ones) together to collect, analyse, and interpret data?",4,"[('different fields', 0.8712), ('scientist', 0.8637), ('data', 0.8464), ('ones', 0.8415)]"
18,"How to best integrate and statistically analyse the deep phenotyped data, i.e. what are the best tools (including AI)?",4,"[('deep phenotyped data', 0.9124), ('ai', 0.8719), ('best tools', 0.8674)]"
19,How can we optimise sharing of materials and (available) data (overcoming regulatory hurdles and crowd sourcing)?,4,"[('sharing', 0.8813), ('crowd sourcing', 0.8754), ('materials', 0.8707), ('data', 0.8435), ('regulatory hurdles', 0.8386)]"
20,"How can we validate predictions made by AI-tools (not only conceptually, but especially practically)?",4,"[('predictions', 0.8845)]"
21,How to integrate the data obtained from studies in non-human animals?,4,"[('data', 0.8778), ('studies', 0.877)]"
22,Which gene variants are antagonistic(pos/neg/neutr) pleiotropic?,4,"[('gene variants', 0.8897)]"
23,What age related changes are associated with many ARDs? ,4,"[('many ards', 0.9142), ('related changes', 0.8865), ('age', 0.8829)]"
